Modelo,Precio,Año,Km,Combustible,Imagen,Link
"Abarth 500c 1.4 595 COMPETIZIONE 180CV 2P # BUTACA DEPORTIVA, PARKTRONIC",15350,2015,97000,Gasolina,https://autofesa.imgix.net/1152286.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/abarth/500c/1-4-595-competizione-180cv-2p-butaca-deportiva-parktronic
Aixam S8 COUPE S8 COUPE 9CV AUTO 3P # CUERO,10450,2015,44144,Otros,https://autofesa.imgix.net/1135419.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/aixam/s8-coupe/s8-coupe-9cv-auto-3p-cuero
"Alfa Romeo Giulia 2.2 DIESEL AUTO EXECUTIVE 150CV 4P #NAVY, PARKTRONIC,CAMARA TRASERA",17900,2019,86300,Otros,https://autofesa.imgix.net/1151161.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/alfa-romeo/giulia/2-2-diesel-auto-executive-150cv-4p-navy-parktronic-camara-trasera
"Alfa Romeo Giulietta 2.0 JTDM 140CV 5P # CUERO,PARKTRONIC",1085010250,2013,131800,Otros,https://autofesa.imgix.net/1137088.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/alfa-romeo/giulietta/2-0-jtdm-140cv-5p-cuero-parktronic
Alfa Romeo Giulietta GIULLIETA 1.6 JTD 105CV 5P # PARKTRONIC,7800,2015,175400,Otros,https://autofesa.imgix.net/1147763.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/alfa-romeo/giulietta/giullieta-1-6-jtd-105cv-5p-parktronic
Alfa Romeo Mito 1.3 JTD RACEER 85CV S/S 3P,8350,2016,130900,Otros,https://autofesa.imgix.net/1136901.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/alfa-romeo/mito/1-3-jtd-raceer-85cv-s-s-3p
"Alfa Romeo Stelvio 2.0 T 200CV Q4 AWD SUPER AUTO 5P # IVA DEDUCIBLE,NAVY,BIXENON,PARKTRONIC",2835026350,2021,66300,Gasolina,https://autofesa.imgix.net/1132152.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/alfa-romeo/stelvio/2-0-t-200cv-q4-awd-super-auto-5p-iva-deducible-navy-bixenon-parktronic
"Alfa Romeo Stelvio 2.2 AUTO EXECUTIVE 190CV 5P #CUERO, TECHO ELECT PANORAMICO,NAVY",19750,2019,121508,Otros,https://autofesa.imgix.net/1152947.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/alfa-romeo/stelvio/2-2-auto-executive-190cv-5p-cuero-techo-elect-panoramico-navy
Alfa Romeo Stelvio 2.2 DIESEL AUTO RWD 163cv 5P #NAVY,2075017850,2019,149987,Otros,https://autofesa.imgix.net/1081079.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/alfa-romeo/stelvio/2-2-diesel-auto-rwd-163cv-5p-navy
"Alfa Romeo Stelvio 2.2D SPRINT AWD 190CV 5P # IVA DEDUCIBLE, NAVY, PARKTRONIC",23500,2022,50900,Otros,https://autofesa.imgix.net/1153684.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/alfa-romeo/stelvio/2-2d-sprint-awd-190cv-5p-iva-deducible-navy-parktronic
"Alfa Romeo Tonale 1.3 MULTI AIR PHEV SPECIALE Q4 AUTO 280CV 5P # IVA DEDUCIBLE,GPS,FAROS LED",32500,2023,13500,Híbrido,https://autofesa.imgix.net/1137448.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/alfa-romeo/tonale/1-3-multi-air-phev-speciale-q4-auto-280cv-5p-iva-deducible-gps-faros-led
"Aston Martin DBS DBS COUPE CASINO ROYALE MANUAL 6.0 V12 511CV 2P # NAVY, PARKTRONIC",149500,2008,37000,Gasolina,https://autofesa.imgix.net/1140508.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/aston-martin/dbs/dbs-coupe-casino-royale-manual-6-0-v12-511cv-2p-navy-parktronic
Audi A1 SPORTBACK 1.4 TFSI 185cv S LINE S-TRONIC AUTO 5P # BLUETOOTH,15850,2012,112000,Gasolina,https://autofesa.imgix.net/1119643.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/audi/a1/sportback-1-4-tfsi-185cv-s-line-s-tronic-auto-5p-bluetooth
"Audi A1 SPOTBACK 1.0 TFSI ULTRA 95CV 5P # NAVY,PARTRONIC",12950,2016,89881,Gasolina,https://autofesa.imgix.net/1135440.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/audi/a1/spotback-1-0-tfsi-ultra-95cv-5p-navy-partronic
"Audi A3 SPORTBACK 35TFSI 150CV SPORT 5P # NAVY, PARKTRONIC",17350,2018,102300,Gasolina,https://autofesa.imgix.net/1122671.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/audi/a3/sportback-35tfsi-150cv-sport-5p-navy-parktronic
"Audi A4 3.0 TDI ALLROAD QUATTRO DESIGN AUTO 218CV 5P #CUERO, NAVY, PARKTRONIC",22650,2016,127700,Otros,https://autofesa.imgix.net/1153977.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/audi/a4/3-0-tdi-allroad-quattro-design-auto-218cv-5p-cuero-navy-parktronic
"Audi A4 AVANT 2.0TDI AUTO 190cv 5P # NAVY, PARKTRONIC",2165019950,2018,100800,Otros,https://autofesa.imgix.net/1098646.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/audi/a4/avant-2-0tdi-auto-190cv-5p-navy-parktronic
"Audi A5 Cabrio 2.0 TFSI MHEV 190cv S-Tronic S-Line 2P S/S # NAVY, FAROS LED, PARKTRONIC",3465029900,2018,27600,Híbrido,https://autofesa.imgix.net/1037190.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/audi/a5/cabrio-2-0-tfsi-mhev-190cv-s-tronic-s-line-2p-s-s-navy-faros-led-parktronic
"Audi A5 COUPE 2.0 TFSI 40 190CV S-LINE AUTO 4P S/S # TECHO, NAVY, PARKTRONIC",2735025500,2017,85000,Gasolina,https://autofesa.imgix.net/1135784.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/audi/a5/coupe-2-0-tfsi-40-190cv-s-line-auto-4p-s-s-techo-navy-parktronic
"Audi A5 COUPE 2.0TDI 190CV S-LINE 2P S/S # NAVY, FAROS LED",2545023950,2017,87400,Otros,https://autofesa.imgix.net/1141833.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/audi/a5/coupe-2-0tdi-190cv-s-line-2p-s-s-navy-faros-led
"Audi A5 SPORTBACK 35 TDI SLINE AUTO 5P # NAVY,FAROS LED,PARKTRONIC",3185028850,2019,40403,Otros,https://autofesa.imgix.net/1126368.jpg?w=768&h=512&q=60&fm=webp,https://www.autofesa.com/coches-de-ocasion/audi/a5/sportback-35-tdi-sline-auto-5p-navy-faros-led-parktronic
